name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bugs
0.0,6.0,8.0,0.0,10.0,22.0,15.0,1.0,10.0,4.0,2.0,128.0,0.0,0.0,0.994206257,0.333333333,1.0,7.0,20.33333333,5.0,2.1667,0.0
1.0,12.0,6.0,0.0,7.0,39.0,28.0,3.0,6.0,1.0,0.397727273,573.0,1.0,2.0,0.983655275,0.5,1.0,3.0,45.41666667,2.0,1.1667,1.0
3.0,2.0,2.0,0.0,2.0,6.0,1.0,1.0,2.0,2.0,2.0,85.0,0.0,0.0,0.875,0.625,0.0,0.0,41.5,5.0,2.5,0.0
4.0,5.0,6.0,0.0,5.0,28.0,0.0,2.0,4.0,1.0,0.708333333,337.0,1.0,0.0,0.9939939940000001,0.5,2.0,4.0,64.0,3.0,1.6,1.0
5.0,2.0,2.0,0.0,1.0,4.0,1.0,0.0,1.0,2.0,2.0,16.0,0.0,0.0,0.75,0.75,1.0,1.0,7.0,2.0,1.0,0.0
6.0,2.0,8.0,0.0,11.0,33.0,1.0,3.0,11.0,2.0,2.0,206.0,0.0,0.0,0.9988358559999999,0.75,2.0,4.0,102.0,16.0,8.0,0.0
7.0,8.0,5.0,0.0,3.0,33.0,28.0,1.0,2.0,7.0,2.0,143.0,0.0,0.0,0.992974239,0.5,1.0,1.0,16.875,3.0,1.125,1.0
8.0,7.0,1.0,0.0,36.0,7.0,21.0,36.0,0.0,7.0,2.0,7.0,0.0,0.0,0.0,0.523809524,0.0,0.0,0.0,1.0,1.0,0.0
9.0,8.0,6.0,0.0,5.0,31.0,20.0,2.0,4.0,1.0,0.761904762,119.0,0.666666667,1.0,0.9910179640000001,0.5,4.0,12.0,13.5,1.0,0.75,0.0
10.0,7.0,1.0,0.0,6.0,20.0,0.0,1.0,5.0,4.0,0.703703704,347.0,1.0,1.0,0.0,0.37142857100000004,0.0,0.0,47.28571429,8.0,3.0,1.0
12.0,5.0,2.0,0.0,5.0,29.0,2.0,1.0,4.0,4.0,0.5625,197.0,1.0,0.0,0.935483871,0.46666666700000003,1.0,7.0,37.6,8.0,2.2,1.0
14.0,14.0,2.0,0.0,14.0,95.0,21.0,8.0,9.0,8.0,0.692307692,973.0,1.0,1.0,0.8533333329999999,0.58974359,1.0,6.0,68.07142857,11.0,2.0714,1.0
15.0,11.0,3.0,0.0,8.0,54.0,0.0,2.0,7.0,10.0,0.625,541.0,1.0,0.0,0.666666667,0.303030303,1.0,4.0,47.81818182,21.0,5.0909,1.0
16.0,3.0,6.0,0.0,5.0,24.0,1.0,1.0,4.0,1.0,0.5,371.0,1.0,0.0,0.996987952,1.0,2.0,4.0,118.66666670000001,3.0,1.3333,1.0
17.0,6.0,1.0,0.0,1.0,6.0,15.0,1.0,0.0,6.0,2.0,6.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,0.0
18.0,248.0,4.0,0.0,70.0,482.0,16336.0,53.0,37.0,193.0,0.8791707390000001,9106.0,0.7758620690000001,10.0,0.7242152470000001,0.07631578900000001,3.0,14.0,35.48387097,29.0,3.2581,1.0
19.0,2.0,2.0,0.0,9.0,6.0,1.0,3.0,6.0,1.0,1.0,54.0,0.0,0.0,0.947368421,0.666666667,1.0,2.0,24.5,1.0,0.5,0.0
20.0,4.0,1.0,1.0,4.0,11.0,6.0,2.0,2.0,4.0,0.666666667,36.0,1.0,1.0,0.0,0.5,0.0,0.0,7.75,2.0,1.0,0.0
