name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bugs
0.0,2.0,2.0,0.0,3.0,4.0,1.0,0.0,3.0,2.0,2.0,10.0,0.0,0.0,0.666666667,0.666666667,0.0,0.0,4.0,1.0,0.5,0.0
1.0,10.0,1.0,0.0,4.0,37.0,0.0,0.0,4.0,9.0,0.38888888899999996,278.0,1.0,0.0,0.0,0.34,0.0,0.0,26.6,5.0,1.6,0.0
2.0,27.0,1.0,0.0,1.0,43.0,13.0,1.0,0.0,13.0,0.600961538,1174.0,1.0,0.0,0.0,0.25308642,0.0,0.0,42.18518519,26.0,5.7407,0.0
3.0,1.0,1.0,0.0,21.0,1.0,0.0,20.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
4.0,3.0,1.0,2.0,19.0,4.0,3.0,18.0,1.0,3.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.333333333,1.0,0.6667,1.0
5.0,2.0,3.0,0.0,8.0,8.0,1.0,2.0,6.0,0.0,2.0,61.0,0.0,0.0,0.9523809520000001,0.583333333,1.0,1.0,29.5,1.0,0.5,1.0
6.0,7.0,2.0,0.0,6.0,30.0,1.0,1.0,5.0,7.0,0.0,373.0,1.0,0.0,0.14285714300000002,0.314285714,1.0,1.0,51.57142857,12.0,3.5714,0.0
7.0,1.0,1.0,0.0,5.0,2.0,0.0,4.0,1.0,1.0,2.0,16.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0
8.0,9.0,2.0,3.0,4.0,14.0,0.0,3.0,1.0,6.0,0.575,204.0,0.8,0.0,0.6190476189999999,0.41666666700000005,1.0,4.0,21.11111111,2.0,1.0,1.0
9.0,6.0,1.0,0.0,8.0,29.0,0.0,2.0,6.0,0.0,0.436363636,383.0,0.727272727,5.0,0.0,0.47916666700000005,0.0,0.0,61.0,1.0,0.6667,1.0
10.0,15.0,2.0,1.0,19.0,50.0,0.0,2.0,18.0,13.0,0.47619047600000003,557.0,1.0,1.0,0.611111111,0.251851852,1.0,5.0,35.93333333,6.0,1.2667,1.0
11.0,5.0,4.0,0.0,2.0,18.0,0.0,1.0,1.0,4.0,0.55,380.0,0.4,1.0,0.8666666670000001,0.4,1.0,1.0,74.0,14.0,4.8,1.0
12.0,17.0,2.0,0.0,12.0,55.0,12.0,3.0,10.0,13.0,0.625,404.0,1.0,0.0,0.428571429,0.158823529,2.0,4.0,22.52941176,7.0,2.0588,1.0
13.0,14.0,1.0,1.0,18.0,17.0,91.0,18.0,0.0,14.0,2.0,189.0,0.0,0.0,0.0,0.297619048,0.0,0.0,12.5,1.0,0.9286,1.0
14.0,2.0,2.0,0.0,6.0,4.0,1.0,4.0,2.0,0.0,2.0,39.0,0.0,0.0,0.916666667,0.666666667,1.0,3.0,18.5,4.0,2.0,0.0
15.0,6.0,2.0,0.0,4.0,10.0,15.0,1.0,3.0,6.0,2.0,31.0,0.0,0.0,0.615384615,0.666666667,1.0,3.0,4.166666667,1.0,0.8333,0.0
16.0,1.0,2.0,0.0,14.0,2.0,0.0,11.0,3.0,0.0,2.0,11.0,0.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0
17.0,12.0,3.0,0.0,7.0,46.0,0.0,1.0,7.0,12.0,0.613636364,343.0,1.0,0.0,0.592592593,0.208333333,2.0,2.0,27.25,7.0,1.75,1.0
18.0,14.0,1.0,0.0,23.0,35.0,0.0,22.0,1.0,14.0,0.5,341.0,0.5,0.0,0.0,0.428571429,0.0,0.0,23.21428571,5.0,2.5714,1.0
19.0,1.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,2.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0
20.0,36.0,1.0,0.0,5.0,52.0,282.0,1.0,4.0,7.0,0.720300752,2855.0,0.21052631600000002,1.0,0.0,0.40571428600000004,0.0,0.0,77.77777778,102.0,7.0556,1.0
21.0,2.0,3.0,0.0,8.0,11.0,0.0,2.0,6.0,0.0,0.0,106.0,1.0,0.0,0.9523809520000001,0.571428571,1.0,1.0,51.5,1.0,0.5,1.0
22.0,6.0,1.0,5.0,25.0,8.0,15.0,24.0,1.0,6.0,2.0,21.0,0.0,0.0,0.0,0.583333333,0.0,0.0,2.5,1.0,0.8333,0.0
24.0,15.0,1.0,0.0,13.0,54.0,41.0,2.0,11.0,10.0,0.804761905,675.0,0.533333333,5.0,0.0,0.237037037,0.0,0.0,43.0,3.0,1.2,0.0
25.0,5.0,1.0,0.0,10.0,36.0,2.0,1.0,9.0,0.0,0.625,319.0,1.0,3.0,0.0,0.333333333,0.0,0.0,62.0,1.0,0.8,1.0
27.0,13.0,1.0,13.0,45.0,39.0,72.0,42.0,7.0,12.0,0.833333333,249.0,1.0,0.0,0.0,0.23076923100000002,0.0,0.0,18.07692308,9.0,1.8462,0.0
28.0,9.0,2.0,0.0,9.0,32.0,0.0,1.0,8.0,9.0,0.291666667,340.0,1.0,2.0,0.6,0.25925925899999996,2.0,3.0,36.44444444,11.0,3.0,0.0
29.0,6.0,2.0,0.0,9.0,28.0,0.0,1.0,8.0,6.0,0.0,147.0,1.0,1.0,0.705882353,0.333333333,2.0,3.0,23.33333333,4.0,1.5,0.0
30.0,15.0,3.0,0.0,9.0,29.0,15.0,1.0,8.0,11.0,0.6,523.0,0.7,3.0,0.214285714,0.28571428600000004,1.0,1.0,33.2,10.0,1.7333,0.0
31.0,3.0,1.0,1.0,14.0,4.0,0.0,13.0,1.0,2.0,0.666666667,25.0,0.333333333,1.0,0.0,0.583333333,0.0,0.0,6.333333333,1.0,0.6667,0.0
32.0,3.0,2.0,3.0,4.0,5.0,1.0,3.0,1.0,1.0,0.5,17.0,1.0,0.0,0.666666667,0.666666667,0.0,0.0,4.333333333,1.0,0.3333,0.0
33.0,3.0,1.0,0.0,0.0,8.0,3.0,0.0,0.0,1.0,1.0,27.0,0.0,0.0,0.0,0.333333333,0.0,0.0,7.666666667,2.0,1.0,0.0
34.0,9.0,1.0,0.0,5.0,18.0,0.0,2.0,3.0,8.0,0.5,1224.0,1.0,0.0,0.0,0.5,0.0,0.0,134.5555556,3.0,1.0,1.0
35.0,6.0,1.0,5.0,5.0,18.0,5.0,5.0,0.0,1.0,0.6,88.0,0.5,0.0,0.0,0.7,0.0,0.0,13.33333333,1.0,0.5,0.0
36.0,16.0,2.0,0.0,10.0,41.0,10.0,2.0,9.0,15.0,0.133333333,257.0,0.0,0.0,0.5,0.375,0.0,0.0,15.0,2.0,0.875,1.0
37.0,5.0,2.0,5.0,15.0,7.0,10.0,10.0,6.0,4.0,2.0,14.0,0.0,0.0,0.75,0.46666666700000003,1.0,1.0,1.8,1.0,0.8,0.0
38.0,10.0,1.0,0.0,8.0,33.0,25.0,1.0,7.0,10.0,0.7222222220000001,178.0,1.0,2.0,0.0,0.228571429,0.0,0.0,16.4,1.0,0.9,1.0
40.0,52.0,1.0,1.0,30.0,129.0,888.0,1.0,29.0,32.0,0.873873874,2830.0,0.648648649,11.0,0.0,0.132730015,0.0,0.0,52.71153846,23.0,2.6731,1.0
41.0,2.0,2.0,0.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,10.0,0.0,0.0,0.666666667,0.666666667,0.0,0.0,4.0,1.0,0.5,0.0
