name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bugs
0.0,40.0,2.0,0.0,6.0,60.0,90.0,1.0,5.0,38.0,0.838141026,786.0,0.9375,9.0,0.229166667,0.275,1.0,6.0,18.25,2.0,0.95,1.0
1.0,20.0,1.0,14.0,32.0,36.0,164.0,31.0,4.0,18.0,0.842105263,141.0,1.0,0.0,0.0,0.2375,0.0,0.0,5.95,2.0,1.05,0.0
2.0,24.0,1.0,0.0,9.0,52.0,86.0,4.0,5.0,16.0,0.673913043,451.0,0.833333333,3.0,0.0,0.18333333300000001,0.0,0.0,17.54166667,5.0,1.7083,1.0
3.0,16.0,2.0,0.0,5.0,28.0,72.0,1.0,4.0,14.0,0.933333333,254.0,0.333333333,0.0,0.45833333299999995,0.46875,1.0,6.0,14.3125,2.0,0.875,1.0
4.0,8.0,2.0,0.0,5.0,20.0,4.0,2.0,4.0,7.0,0.8,148.0,0.6,0.0,0.583333333,0.375,1.0,2.0,16.875,1.0,0.625,1.0
5.0,11.0,2.0,0.0,5.0,21.0,49.0,2.0,3.0,9.0,0.85,106.0,0.5,0.0,0.578947368,0.522727273,1.0,6.0,8.454545455,2.0,0.8182,1.0
6.0,3.0,3.0,0.0,6.0,4.0,1.0,5.0,1.0,3.0,2.0,24.0,0.0,0.0,0.875,0.5555555560000001,0.0,0.0,7.0,2.0,1.3333,0.0
7.0,8.0,2.0,0.0,20.0,59.0,20.0,2.0,19.0,4.0,0.8214285709999999,267.0,1.0,4.0,0.41666666700000005,0.666666667,1.0,1.0,31.875,1.0,0.875,0.0
8.0,12.0,1.0,0.0,10.0,24.0,6.0,2.0,9.0,11.0,0.787878788,156.0,0.0,1.0,0.0,0.375,0.0,0.0,11.5,2.0,1.0,1.0
9.0,8.0,2.0,1.0,11.0,37.0,0.0,7.0,5.0,6.0,0.35714285700000004,278.0,1.0,0.0,0.8235294120000001,0.375,1.0,1.0,33.5,6.0,1.625,1.0
10.0,16.0,1.0,0.0,2.0,30.0,88.0,1.0,1.0,14.0,0.683333333,250.0,0.0,1.0,0.0,0.21875,0.0,0.0,14.375,4.0,1.125,1.0
11.0,22.0,2.0,0.0,9.0,51.0,89.0,3.0,7.0,22.0,0.721088435,417.0,0.857142857,2.0,0.269230769,0.233766234,1.0,2.0,17.63636364,5.0,1.0455,1.0
12.0,25.0,2.0,0.0,8.0,40.0,258.0,4.0,4.0,23.0,0.7583333329999999,390.0,0.8,0.0,0.333333333,0.3,1.0,6.0,14.4,7.0,1.76,1.0
13.0,62.0,2.0,0.0,6.0,85.0,611.0,1.0,5.0,60.0,0.953972257,1390.0,0.5,14.0,0.157142857,0.266129032,1.0,6.0,20.58064516,2.0,0.9677,1.0
14.0,15.0,2.0,0.0,7.0,32.0,79.0,4.0,3.0,13.0,0.7857142859999999,251.0,0.666666667,0.0,0.47826087,0.483333333,1.0,6.0,15.53333333,3.0,1.2,1.0
15.0,20.0,2.0,0.0,6.0,37.0,0.0,1.0,5.0,18.0,0.684210526,321.0,0.833333333,4.0,0.39285714299999996,0.36,1.0,6.0,14.75,2.0,0.9,1.0
16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,10.0,2.0,2.0,5.0,20.0,0.0,2.0,3.0,10.0,0.0,53.0,1.0,1.0,0.64,0.55,1.0,2.0,4.2,1.0,0.9,1.0
18.0,12.0,2.0,0.0,5.0,22.0,54.0,2.0,3.0,10.0,0.818181818,117.0,0.5,0.0,0.55,0.5,1.0,6.0,8.583333332999999,2.0,0.8333,1.0
19.0,93.0,1.0,0.0,33.0,244.0,0.0,6.0,28.0,79.0,0.9259510870000001,1441.0,0.4375,3.0,0.0,0.144927536,0.0,0.0,14.32258065,18.0,1.6559,1.0
20.0,1.0,1.0,0.0,7.0,1.0,0.0,6.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
21.0,20.0,3.0,0.0,34.0,126.0,130.0,3.0,32.0,10.0,1.047117794,1170.0,0.019047619,2.0,0.558139535,0.161538462,2.0,7.0,47.0,11.0,2.4,1.0
22.0,54.0,1.0,0.0,34.0,183.0,89.0,4.0,30.0,45.0,0.878216123,1831.0,0.727272727,4.0,0.0,0.140161725,0.0,0.0,32.7037037,32.0,2.2963,1.0
23.0,38.0,2.0,0.0,6.0,52.0,479.0,2.0,4.0,35.0,0.8986486490000001,536.0,0.9375,6.0,0.24444444399999998,0.335135135,1.0,6.0,12.68421053,2.0,0.9211,1.0
24.0,27.0,2.0,0.0,7.0,42.0,209.0,3.0,4.0,24.0,0.846153846,372.0,0.9,3.0,0.323529412,0.346153846,1.0,6.0,12.40740741,2.0,0.8889,1.0
25.0,8.0,2.0,0.0,8.0,19.0,0.0,2.0,6.0,6.0,0.8214285709999999,324.0,1.0,6.0,0.3,0.583333333,1.0,2.0,38.5,4.0,1.375,0.0
26.0,4.0,1.0,0.0,5.0,4.0,6.0,4.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.583333333,0.0,0.0,0.0,1.0,1.0,0.0
27.0,12.0,2.0,0.0,7.0,22.0,46.0,4.0,3.0,10.0,0.818181818,127.0,0.5,0.0,0.55,0.4,1.0,6.0,9.416666667000001,2.0,1.0,1.0
28.0,4.0,2.0,3.0,6.0,11.0,6.0,4.0,5.0,4.0,2.0,61.0,0.0,0.0,0.916666667,0.6875,0.0,0.0,14.25,5.0,1.25,1.0
29.0,44.0,2.0,0.0,6.0,61.0,312.0,1.0,5.0,42.0,0.860465116,933.0,0.944444444,8.0,0.21153846199999998,0.327272727,1.0,6.0,19.79545455,2.0,0.9545,1.0
30.0,6.0,1.0,2.0,5.0,13.0,0.0,2.0,3.0,4.0,0.5,107.0,1.0,2.0,0.0,0.45833333299999995,0.0,0.0,16.5,3.0,1.1667,0.0
31.0,12.0,2.0,0.0,5.0,22.0,54.0,2.0,3.0,10.0,0.818181818,117.0,0.5,0.0,0.55,0.5,1.0,6.0,8.583333332999999,2.0,0.8333,1.0
32.0,19.0,2.0,0.0,6.0,38.0,21.0,2.0,5.0,18.0,0.685185185,284.0,0.833333333,2.0,0.304347826,0.22556391,1.0,2.0,13.63157895,3.0,0.9474,1.0
33.0,11.0,2.0,0.0,5.0,25.0,43.0,2.0,3.0,9.0,0.8,182.0,0.0,0.0,0.578947368,0.418181818,1.0,6.0,15.36363636,2.0,1.0909,1.0
34.0,15.0,1.0,132.0,155.0,23.0,105.0,155.0,0.0,12.0,2.0,84.0,0.0,0.0,0.0,0.483333333,0.0,0.0,4.6,1.0,0.8,1.0
35.0,13.0,2.0,0.0,4.0,27.0,46.0,1.0,3.0,11.0,0.7777777779999999,201.0,0.333333333,0.0,0.523809524,0.333333333,1.0,6.0,14.23076923,2.0,1.0769,1.0
36.0,11.0,1.0,0.0,2.0,24.0,53.0,1.0,2.0,6.0,1.033333333,241.0,1.0,0.0,0.0,0.157142857,0.0,0.0,20.63636364,4.0,1.6364,0.0
37.0,12.0,2.0,0.0,5.0,22.0,46.0,2.0,3.0,10.0,0.818181818,128.0,0.5,0.0,0.55,0.4,1.0,6.0,9.5,2.0,1.0,1.0
38.0,12.0,1.0,2.0,15.0,13.0,42.0,15.0,0.0,12.0,0.818181818,62.0,0.0,0.0,0.0,0.708333333,0.0,0.0,3.833333333,1.0,0.8333,0.0
39.0,21.0,1.0,0.0,6.0,44.0,0.0,5.0,1.0,20.0,0.976666667,153.0,0.133333333,1.0,0.0,0.253968254,0.0,0.0,5.571428571,1.0,0.9524,1.0
40.0,4.0,1.0,0.0,6.0,4.0,6.0,6.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
41.0,6.0,1.0,0.0,5.0,25.0,7.0,2.0,3.0,4.0,0.75,230.0,1.0,0.0,0.0,0.55,0.0,0.0,36.66666667,9.0,2.0,1.0
42.0,1.0,3.0,0.0,4.0,2.0,0.0,3.0,1.0,1.0,2.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0
43.0,4.0,1.0,0.0,2.0,18.0,0.0,1.0,1.0,4.0,0.222222222,129.0,1.0,1.0,0.0,0.4375,1.0,1.0,30.5,6.0,2.5,0.0
44.0,12.0,2.0,0.0,5.0,24.0,46.0,1.0,4.0,10.0,0.818181818,141.0,0.5,0.0,0.55,0.5,1.0,6.0,10.58333333,2.0,0.8333,1.0
45.0,9.0,2.0,0.0,4.0,13.0,36.0,2.0,2.0,9.0,1.125,62.0,0.0,0.0,0.3,0.333333333,0.0,0.0,5.666666667,1.0,0.7778,1.0
46.0,12.0,2.0,0.0,10.0,23.0,6.0,3.0,7.0,12.0,0.672727273,154.0,0.0,0.0,0.592592593,0.316666667,1.0,1.0,11.41666667,2.0,1.0,1.0
47.0,5.0,2.0,0.0,3.0,20.0,0.0,0.0,3.0,4.0,0.5,138.0,1.0,0.0,0.8888888890000001,0.5,1.0,1.0,26.2,12.0,4.8,0.0
48.0,15.0,2.0,0.0,7.0,33.0,43.0,1.0,6.0,15.0,0.833333333,258.0,0.666666667,0.0,0.575757576,0.333333333,1.0,5.0,15.8,2.0,1.0,0.0
49.0,6.0,1.0,0.0,1.0,27.0,15.0,1.0,0.0,5.0,2.0,264.0,0.0,0.0,0.0,0.291666667,0.0,0.0,43.0,1.0,0.8333,0.0
50.0,7.0,1.0,0.0,7.0,30.0,0.0,4.0,3.0,4.0,0.333333333,212.0,0.0,1.0,0.0,0.47619047600000003,0.0,0.0,29.0,7.0,2.1429,0.0
51.0,5.0,3.0,0.0,2.0,8.0,10.0,1.0,1.0,4.0,1.25,26.0,0.0,0.0,0.923076923,0.5,1.0,2.0,4.0,1.0,0.4,1.0
52.0,16.0,1.0,0.0,2.0,30.0,88.0,1.0,1.0,14.0,0.683333333,250.0,0.0,1.0,0.0,0.21875,0.0,0.0,14.375,4.0,1.125,0.0
53.0,85.0,3.0,0.0,0.0,181.0,0.0,0.0,0.0,85.0,0.5,2890.0,0.5,0.0,0.514450867,0.075456389,2.0,20.0,32.97647059,1.0,0.9882,1.0
54.0,10.0,1.0,2.0,12.0,12.0,3.0,11.0,1.0,10.0,0.333333333,69.0,1.0,0.0,0.0,0.34,0.0,0.0,5.8,2.0,1.0,0.0
55.0,18.0,2.0,0.0,5.0,28.0,111.0,2.0,3.0,16.0,0.776470588,231.0,0.8,0.0,0.423076923,0.45833333299999995,1.0,6.0,11.55555556,2.0,0.8889,1.0
56.0,16.0,1.0,0.0,3.0,17.0,78.0,2.0,1.0,16.0,0.533333333,172.0,1.0,0.0,0.0,0.291666667,0.0,0.0,9.5,9.0,1.625,0.0
57.0,14.0,2.0,0.0,7.0,26.0,57.0,3.0,4.0,12.0,0.7692307690000001,195.0,0.666666667,0.0,0.5,0.48214285700000004,1.0,6.0,12.71428571,2.0,0.8571,1.0
58.0,25.0,2.0,0.0,11.0,41.0,258.0,7.0,4.0,23.0,0.7583333329999999,389.0,0.8,0.0,0.333333333,0.257142857,1.0,6.0,14.36,7.0,1.76,1.0
59.0,4.0,1.0,1.0,10.0,26.0,4.0,3.0,7.0,2.0,0.833333333,193.0,1.0,0.0,0.0,0.41666666700000005,0.0,0.0,46.75,6.0,2.0,1.0
60.0,9.0,2.0,0.0,7.0,41.0,4.0,1.0,6.0,8.0,0.875,302.0,0.5,0.0,0.7307692309999999,0.35,1.0,5.0,32.11111111,4.0,1.3333,1.0
62.0,11.0,2.0,0.0,4.0,16.0,55.0,2.0,3.0,11.0,1.1,96.0,0.333333333,0.0,0.25,0.272727273,0.0,0.0,7.454545455,1.0,0.8182,1.0
63.0,6.0,1.0,4.0,20.0,28.0,15.0,5.0,19.0,3.0,2.0,191.0,0.0,0.0,0.0,0.333333333,0.0,0.0,30.83333333,6.0,2.3333,1.0
64.0,15.0,2.0,0.0,8.0,34.0,87.0,3.0,5.0,12.0,0.8714285709999999,230.0,0.8,0.0,0.47826087,0.5166666670000001,1.0,5.0,14.0,2.0,1.0,1.0
65.0,17.0,2.0,0.0,8.0,41.0,66.0,4.0,4.0,15.0,0.85,319.0,0.4,0.0,0.44,0.31372549,1.0,6.0,17.47058824,3.0,1.2353,1.0
66.0,7.0,2.0,0.0,2.0,8.0,21.0,1.0,2.0,7.0,1.166666667,32.0,0.5,0.0,0.583333333,0.428571429,1.0,2.0,3.285714286,1.0,0.7143,1.0
67.0,17.0,2.0,2.0,7.0,44.0,106.0,4.0,4.0,15.0,0.760416667,483.0,0.5,0.0,0.45833333299999995,0.485294118,1.0,6.0,27.05882353,5.0,1.5294,1.0
68.0,10.0,2.0,0.0,5.0,19.0,5.0,2.0,3.0,8.0,0.740740741,223.0,1.0,0.0,0.3,0.228571429,1.0,2.0,21.0,3.0,1.2,0.0
69.0,2.0,1.0,0.0,10.0,20.0,1.0,1.0,9.0,2.0,2.0,175.0,0.0,0.0,0.0,0.625,0.0,0.0,86.5,12.0,6.0,0.0
70.0,12.0,2.0,0.0,5.0,22.0,46.0,2.0,3.0,10.0,0.818181818,128.0,0.0,0.0,0.55,0.4,1.0,6.0,9.5,2.0,1.0,1.0
71.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,7.0,3.0,0.0,4.0,17.0,0.0,2.0,2.0,6.0,0.8888888890000001,120.0,0.333333333,0.0,0.772727273,0.523809524,1.0,5.0,15.71428571,1.0,0.7143,1.0
73.0,9.0,1.0,0.0,11.0,43.0,28.0,0.0,11.0,6.0,0.6875,416.0,1.0,0.0,0.0,0.333333333,0.0,0.0,45.0,13.0,3.2222,1.0
74.0,7.0,1.0,0.0,4.0,22.0,0.0,1.0,3.0,5.0,0.166666667,88.0,1.0,2.0,0.0,0.428571429,0.0,0.0,11.28571429,2.0,1.0,1.0
75.0,7.0,2.0,0.0,6.0,14.0,9.0,5.0,2.0,5.0,0.5,48.0,1.0,1.0,0.848484848,0.342857143,0.0,0.0,5.714285714,1.0,0.7143,0.0
76.0,39.0,1.0,0.0,3.0,78.0,0.0,2.0,1.0,38.0,0.923684211,234.0,0.0,1.0,0.0,0.30256410300000003,0.0,0.0,4.743589743999999,2.0,1.0256,0.0
77.0,2.0,1.0,0.0,8.0,36.0,1.0,2.0,6.0,2.0,2.0,137.0,0.0,0.0,0.0,0.5,0.0,0.0,67.5,2.0,1.0,0.0
78.0,12.0,2.0,0.0,6.0,18.0,54.0,4.0,2.0,8.0,0.924242424,222.0,1.0,1.0,0.23076923100000002,0.3125,1.0,2.0,17.0,5.0,1.3333,0.0
79.0,31.0,2.0,0.0,5.0,55.0,281.0,0.0,5.0,31.0,0.940909091,567.0,0.545454545,0.0,0.387755102,0.230414747,1.0,5.0,16.58064516,3.0,1.0645,0.0
80.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.0,13.0,2.0,0.0,5.0,22.0,66.0,2.0,3.0,11.0,0.805555556,140.0,0.666666667,0.0,0.523809524,0.4,1.0,6.0,9.538461538,2.0,0.8462,1.0
82.0,14.0,2.0,0.0,8.0,26.0,69.0,4.0,4.0,12.0,0.7435897440000001,188.0,0.666666667,0.0,0.5,0.321428571,1.0,6.0,12.21428571,3.0,1.1429,1.0
83.0,17.0,2.0,0.0,9.0,32.0,74.0,5.0,4.0,13.0,0.75,224.0,0.75,0.0,0.44,0.294117647,1.0,6.0,11.94117647,2.0,1.1176,1.0
84.0,6.0,1.0,0.0,4.0,22.0,0.0,1.0,3.0,0.0,0.333333333,163.0,1.0,0.0,0.0,0.5,0.0,0.0,25.66666667,5.0,2.3333,0.0
85.0,11.0,1.0,0.0,5.0,21.0,9.0,2.0,3.0,11.0,0.25,92.0,1.0,0.0,0.0,0.454545455,0.0,0.0,7.181818182000001,1.0,0.6364,0.0
86.0,20.0,2.0,0.0,5.0,32.0,114.0,1.0,4.0,18.0,0.7894736840000001,357.0,0.833333333,0.0,0.39285714299999996,0.45,1.0,6.0,16.55,2.0,0.9,1.0
87.0,24.0,2.0,0.0,6.0,42.0,0.0,1.0,5.0,22.0,0.818181818,423.0,0.636363636,5.0,0.34375,0.291666667,1.0,6.0,16.16666667,2.0,0.9167,1.0
88.0,22.0,2.0,0.0,8.0,35.0,169.0,5.0,3.0,20.0,0.946778711,316.0,0.352941176,0.0,0.36666666700000006,0.44318181799999995,1.0,6.0,12.59090909,2.0,0.9091,1.0
90.0,9.0,1.0,0.0,4.0,17.0,0.0,1.0,3.0,7.0,0.5,234.0,1.0,1.0,0.0,0.5111111110000001,0.0,0.0,24.55555556,2.0,1.1111,1.0
91.0,5.0,3.0,0.0,2.0,9.0,10.0,1.0,1.0,5.0,1.25,28.0,0.0,0.0,0.96,0.55,1.0,3.0,4.4,1.0,0.2,1.0
92.0,4.0,1.0,4.0,5.0,6.0,6.0,4.0,1.0,1.0,2.0,15.0,0.0,0.0,0.0,0.666666667,0.0,0.0,2.75,1.0,0.75,0.0
93.0,30.0,3.0,0.0,10.0,50.0,155.0,6.0,5.0,28.0,0.975369458,622.0,0.23809523800000001,4.0,0.307692308,0.34,1.0,6.0,18.33333333,2.0,0.9333,1.0
94.0,1.0,1.0,0.0,9.0,1.0,0.0,9.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
95.0,10.0,2.0,0.0,6.0,18.0,45.0,3.0,3.0,8.0,1.111111111,79.0,0.0,0.0,0.611111111,0.525,1.0,6.0,6.8,2.0,0.8,1.0
96.0,36.0,2.0,0.0,6.0,57.0,196.0,1.0,5.0,34.0,0.90931677,744.0,0.565217391,6.0,0.25,0.27777777800000003,1.0,6.0,19.02777778,2.0,0.9444,1.0
97.0,14.0,2.0,0.0,6.0,25.0,77.0,3.0,3.0,11.0,0.8615384620000001,212.0,0.8,0.0,0.5,0.517857143,1.0,5.0,13.78571429,2.0,1.0,1.0
98.0,12.0,1.0,0.0,15.0,37.0,66.0,15.0,0.0,10.0,1.0909090909999999,494.0,1.0,0.0,0.0,0.27380952399999997,0.0,0.0,40.08333333,10.0,2.5833,1.0
99.0,12.0,2.0,0.0,5.0,22.0,54.0,2.0,3.0,10.0,0.981818182,120.0,0.2,0.0,0.55,0.5,1.0,6.0,8.583333332999999,2.0,0.8333,1.0
100.0,9.0,2.0,0.0,4.0,17.0,36.0,1.0,3.0,7.0,1.125,72.0,0.0,0.0,0.647058824,0.5555555560000001,1.0,6.0,6.8888888889999995,2.0,0.7778,1.0
101.0,9.0,2.0,0.0,10.0,27.0,6.0,5.0,5.0,9.0,0.875,180.0,0.333333333,0.0,0.703703704,0.355555556,1.0,5.0,18.66666667,2.0,1.1111,0.0
102.0,23.0,2.0,0.0,7.0,37.0,219.0,2.0,5.0,21.0,0.8506493509999999,345.0,0.857142857,0.0,0.35483871,0.347826087,1.0,5.0,13.69565217,6.0,1.5652,1.0
103.0,14.0,2.0,0.0,8.0,26.0,69.0,4.0,4.0,12.0,0.7435897440000001,187.0,0.666666667,0.0,0.5,0.321428571,1.0,6.0,12.14285714,3.0,1.1429,1.0
104.0,29.0,2.0,0.0,7.0,53.0,100.0,2.0,6.0,28.0,0.75,556.0,0.8888888890000001,3.0,0.212121212,0.221674877,1.0,2.0,17.86206897,5.0,1.0345,1.0
105.0,4.0,1.0,0.0,1.0,4.0,6.0,1.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0
106.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107.0,17.0,2.0,0.0,10.0,48.0,38.0,3.0,8.0,17.0,0.822916667,419.0,0.666666667,1.0,0.542857143,0.27450980399999997,1.0,5.0,23.29411765,3.0,1.1765,0.0
108.0,9.0,2.0,0.0,4.0,13.0,36.0,2.0,2.0,9.0,1.125,58.0,0.0,0.0,0.3,0.333333333,0.0,0.0,5.333333333,1.0,0.7778,1.0
109.0,9.0,1.0,0.0,10.0,20.0,0.0,10.0,0.0,9.0,0.25,294.0,1.0,0.0,0.0,0.311111111,1.0,1.0,31.44444444,7.0,1.8889,0.0
