name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bugs
0.0,7.0,1.0,1.0,10.0,38.0,13.0,1.0,9.0,5.0,0.75,230.0,1.0,0.0,0.0,0.375,0.0,0.0,31.57142857,20.0,3.4286,0.0
1.0,9.0,1.0,0.0,25.0,9.0,36.0,22.0,4.0,9.0,2.0,9.0,0.0,0.0,0.0,0.296296296,0.0,0.0,0.0,1.0,1.0,1.0
2.0,3.0,2.0,0.0,11.0,31.0,3.0,0.0,11.0,3.0,2.0,142.0,0.0,0.0,0.75,0.5555555560000001,0.0,0.0,46.33333333,10.0,3.6667,0.0
3.0,2.0,2.0,0.0,7.0,9.0,1.0,0.0,7.0,2.0,2.0,20.0,0.0,0.0,0.875,0.75,0.0,0.0,9.0,1.0,0.5,0.0
4.0,12.0,2.0,0.0,10.0,37.0,14.0,2.0,8.0,12.0,0.8311688309999999,390.0,0.7142857140000001,0.0,0.541666667,0.3,0.0,0.0,30.91666667,30.0,3.3333,0.0
5.0,2.0,1.0,0.0,12.0,14.0,0.0,1.0,12.0,2.0,0.0,77.0,1.0,0.0,0.0,0.75,0.0,0.0,37.0,4.0,2.0,1.0
6.0,8.0,1.0,0.0,14.0,65.0,20.0,1.0,13.0,3.0,0.571428571,552.0,1.0,1.0,0.0,0.244897959,0.0,0.0,67.75,26.0,5.875,1.0
7.0,3.0,3.0,0.0,7.0,15.0,3.0,0.0,7.0,3.0,2.0,46.0,0.0,0.0,0.7777777779999999,0.5555555560000001,0.0,0.0,14.33333333,3.0,1.3333,0.0
8.0,2.0,3.0,0.0,5.0,28.0,1.0,3.0,3.0,1.0,2.0,156.0,0.0,0.0,0.962962963,0.666666667,2.0,5.0,77.0,5.0,2.5,0.0
9.0,7.0,1.0,0.0,1.0,8.0,0.0,1.0,0.0,7.0,0.7222222220000001,104.0,1.0,0.0,0.0,0.428571429,0.0,0.0,13.0,5.0,1.4286,0.0
10.0,10.0,2.0,7.0,14.0,35.0,0.0,7.0,7.0,10.0,0.0,173.0,1.0,0.0,0.590909091,0.283333333,0.0,0.0,16.2,3.0,1.5,0.0
11.0,5.0,1.0,0.0,11.0,18.0,10.0,2.0,9.0,4.0,1.0,126.0,1.0,0.0,0.0,0.583333333,0.0,0.0,24.0,1.0,0.6,0.0
