name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bugs
0.0,7.0,3.0,0.0,19.0,35.0,0.0,0.0,19.0,6.0,0.083333333,226.0,1.0,1.0,0.922077922,0.30612244899999996,2.0,9.0,31.0,3.0,1.5714,1.0
1.0,12.0,2.0,14.0,22.0,23.0,0.0,17.0,7.0,12.0,0.363636364,149.0,1.0,2.0,0.731707317,0.21875,1.0,7.0,11.25,5.0,1.5833,1.0
2.0,69.0,1.0,0.0,36.0,198.0,2330.0,20.0,18.0,64.0,1.005793226,2601.0,0.303030303,0.0,0.0,0.102076125,0.0,0.0,36.217391299999996,49.0,4.2464,1.0
3.0,49.0,3.0,2.0,42.0,100.0,1176.0,33.0,12.0,46.0,1.0,740.0,0.0,1.0,0.606837607,0.12222222199999999,3.0,21.0,14.08163265,16.0,1.8571,1.0
4.0,1.0,1.0,0.0,11.0,1.0,0.0,11.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
5.0,9.0,1.0,0.0,3.0,9.0,36.0,2.0,1.0,9.0,2.0,9.0,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,1.0,1.0,0.0
6.0,3.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.5,234.0,1.0,0.0,0.974358974,1.0,0.0,0.0,76.66666667,1.0,0.3333,1.0
7.0,6.0,2.0,0.0,4.0,10.0,13.0,0.0,4.0,5.0,0.8,41.0,1.0,1.0,0.5,0.4,0.0,0.0,5.666666667,1.0,0.6667,0.0
8.0,9.0,1.0,0.0,3.0,24.0,0.0,2.0,2.0,0.0,0.892857143,353.0,0.0,1.0,0.0,0.62962963,0.0,0.0,37.44444444,3.0,1.4444,0.0
9.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
10.0,4.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.266666667,90.0,0.0,0.0,0.0,0.833333333,0.0,0.0,15.25,4.0,2.0,0.0
11.0,1.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,1.0
12.0,7.0,2.0,0.0,8.0,11.0,19.0,4.0,6.0,6.0,0.833333333,39.0,1.0,1.0,0.444444444,0.333333333,0.0,0.0,4.428571429,1.0,0.7143,1.0
13.0,1.0,1.0,0.0,4.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
14.0,11.0,1.0,1.0,3.0,20.0,53.0,3.0,1.0,0.0,0.9,90.0,1.0,0.0,0.0,0.4,0.0,0.0,7.090909091,2.0,0.9091,0.0
15.0,4.0,2.0,1.0,5.0,11.0,4.0,1.0,5.0,4.0,2.0,63.0,0.0,0.0,0.8235294120000001,0.5,1.0,4.0,14.75,5.0,1.75,1.0
